ID_REF	VADS_01047_N	VADS_01047_T_E	VADS_0135_T_M	VADS_0279_T_NM	VADS_065_T_NM	VADS_0888_T_M	VADS_1102_N	VADS_1107_N	VADS_0190_T_NM	VADS_209_T_M	VADS_435_T_E	VADS_834_T_E	VADS_856_T_NM	VADS_933_T_M	VADS_pool_N	VADS_pool_T_E	VADS_Pool_T_NM	VADS_Pool_T_M	VADS_0103_T_NM	VADS_0118_T_LR	VADS_0165_T_M	VADS_0167_T_NM	VADS_0203_T_M	VADS_0215_T_M	VADS_0218_T_M	VADS_0330_T_M	VADS_0357_T_NM	VADS_0408_T_M	VADS_0409_T_NM	VADS_0423_T_NM	VADS_0429_T_LR	VADS_0621_T_M	VADS_0629_T_M	VADS_0684_T_LR	VADS_0702_T_LR	VADS_0744_T_M	VADS_0829_T_M	VADS_0847_T_NM
40858_at	150.4	90.5	393.2	144	196.4	142	32.1	57.3	211.6	288	455.4	147.5	241.6	165.2	165.5	133.6	391	221.2	35.5	28.6	60.6	125.3	48	48.6	43	59.2	96.4	69.7	32.9	7	11.2	92.5	43.5	39	36.3	42.3	28.4	44.5
40859_at	533.1	285.8	327.7	302.9	570.3	287.4	369.4	278.7	105.4	541.5	200.6	243.7	301.3	606	296.3	155.8	147.2	329.4	274.9	574.1	474.3	359.1	341.6	285.7	388	306.8	598.7	130.8	289.1	389.2	556.6	898.1	268.5	348.8	363.3	254.8	688	279.5
40860_s_at	34.6	244.6	220.8	290.5	90.4	130	61.8	70.6	107.5	365.2	67.9	20.8	160.4	217.3	54.3	56.5	91.7	39.3	485.9	588.9	433.9	402.9	603.6	596.9	428	368.4	221.2	138.1	444.9	1817.1	874.7	180.4	544.3	271.4	108.9	2234.6	487	1096.2
40861_at	3688	4621	3429.1	4692.5	3357.9	5500.1	2175.2	2620.4	2672.8	3350.2	3299.9	2359.9	2735.9	3557.3	3114.7	3208.1	2070.9	3367.5	2257.2	1929.3	2326	1997.6	985.8	1477.1	1947.6	1959	2531.3	832.6	2093.6	2433.4	2838.6	2005.5	2480.1	2109.6	3021.2	2436.7	1673.1	1023.7
40862_i_at	1250.4	3036.4	1774.3	2815.6	10616.4	2600.1	2254.8	2302.7	2923.6	1415.2	11949.6	2354.9	1058	1998.3	2246.4	2614.2	6674.2	2512.1	125.6	164.1	248.8	179.9	126.8	326.6	121.7	98.4	104.4	254	275.8	78.6	63.7	207.8	162.9	80.3	35.7	149.6	115.3	221.2
40863_r_at	1643.2	4305.6	2792.4	4276	10723.3	2926	3099.4	3403.4	5534.6	1811.3	13427.2	4083.1	1591.2	2388.1	3494.7	4679.5	10659.6	3291.1	5730.4	5876.8	11074.6	14551.8	8228.8	2146.2	5092.2	2973.3	2439.7	8279.1	5664.4	2540	3837.2	4459.7	4632.8	1812.7	3542.1	5474.2	4012.1	3264.5
40864_at	17801.6	10608.9	10343.9	8132.9	11843.8	7590.8	11879.2	11051.6	5204	8294	6268.2	6164.7	11337.7	13104.4	11055.5	10434.8	10438.8	7435.5	7.6	19.8	50.5	18.2	5	73.1	5.5	5.1	20.8	94.6	22.8	55.3	38	108.3	81.1	13.2	2.8	7.2	50.3	75
40865_at	482.5	750.6	652.2	655.5	635.7	554.9	939.1	799.2	841.3	919.8	802.9	416.7	1827.3	385.2	330	692.6	469.1	561.3	178.5	131.6	157.6	119.3	107	168.4	128.1	117	123.3	79.8	123	186.2	167.9	133.3	98.4	150.1	126.6	160.6	145.2	98.5
40866_at	830.2	2084.3	934	1317.9	3226.1	2575	1578.4	1451.8	1042.1	1276.5	1095.6	1495.8	832.7	1213.2	830.5	1312.1	1364.4	1087.6	183.1	207.6	176.4	167.4	189	259.1	141.4	150.9	75.3	232.6	272.6	302.4	144.5	163.1	244.7	184.3	189.7	233.3	133.4	214.5
40867_at	3259.7	4107.6	2098.1	4191.3	2395	3346.9	2943.4	3708.5	1514	1184.7	2938.5	3235.7	3258.6	669.8	3262.7	2898	2185.4	5165	21	67.1	91.4	39.1	44.5	171.4	26.9	9.2	15	120.1	150.6	47.6	22.3	53.5	121.7	145.3	20.5	33.2	72.7	126.2
40868_at	376.5	369.2	476.9	291.5	278	447.7	347.9	299.3	422.5	313.9	242.9	130.1	237.9	473.5	328.8	266.3	219.8	213.3	3522.3	6389.4	4995	5183.8	4444.7	6959.2	4223	4476.2	3073.6	5471.1	5505.4	8912.4	5493.6	7131.7	4005.8	4581.4	4708.7	6741.7	5317.3	5018
40869_at	329.9	401.6	322.9	260.9	172.1	484.3	300.6	354	246.2	94.2	377	123.5	430.6	100	337.7	288.4	178.2	205.8	12277.5	1888.1	2014.1	1541.2	1200.5	2640.2	2261.1	2640.5	1011.8	2596	3613.9	2166	1278.4	1036.4	1627.5	722.6	552.5	2451.5	4052.7	1202.9
40870_g_at	780	335.3	470.1	215.9	445.9	901.6	289.7	671.2	618.1	388	473.7	402.6	312.3	682.4	833.4	397.4	309.5	464.8	9550.1	2721.4	3163.5	1866.5	1372.1	3411.9	3330.3	3346.3	1119.2	3810.4	4738	4325	2265.9	1265.2	3113.7	1180.3	821.4	3290.3	4628.8	2134.9
40871_at	21.9	46.5	58.8	33.9	95.4	41.4	43.5	102.2	140.4	93	30.6	46.6	227.6	173.1	18.6	178.1	83.8	31.4	13535.9	9564.4	7713.4	7495.2	6442.9	10638.3	8339.2	9424.7	12776	6317.6	7532.4	10420.1	11262.1	8537.6	9746.5	8472.6	6911.6	8095.5	7671.8	9541.8
40872_at	12203.9	6390.2	4297.4	10696.5	9126.4	4762.2	17083.2	19288	17568.4	6208.3	9163	11021.8	14378.4	8562.6	6994.6	9769.5	8576.6	8540.5	1156	594.5	608.8	747	632.9	578.9	878.5	489.6	733.6	1249.8	624.2	943.7	842.7	1072.4	832.1	925.7	900.3	770.9	731.2	976.4
40873_at	686.1	2334.5	2548.2	1450.6	1086.7	4122.2	455.1	900.6	1248.4	2415.5	2201.7	5563.9	2927.7	2162.1	1712.2	3599.2	1311.6	2174.5	359.8	1806	975.2	1639.9	1336.8	1284.3	1596.8	970.3	1872.4	1974.1	1913.6	2464.2	2054.8	1995.5	356.8	2465.7	2303	2207.8	2188.8	893.6
40874_at	3685.4	3075.4	3738	3706	3529.2	4385.5	5304.7	3367.4	5627.7	6672.1	3054.6	3537.3	6300.6	5899.1	4023.4	3555.3	3174.8	3145.3	3939.2	2355.2	934.2	2069.2	3251.7	3122.7	2678.5	2712.4	3401.9	3352.4	2283.9	3737.9	3611.3	3627.7	2362.2	1751.1	3250.5	2190.3	3234.8	4383.4
40875_s_at	7046.3	6818.2	4552.8	6682.5	5829.7	6176.9	9886.8	7152.6	10374.9	17508.2	15723.8	9666.7	4245.2	9990.1	8650.2	8158.6	10688.7	9909.1	286.2	275.8	480.5	296.8	331.7	214.8	251.6	356.7	403	225.3	356	299.4	247.8	401.5	267.6	401	335	239.1	148.6	226.6
40876_at	754.4	604.5	859.6	937.7	646.2	992.5	573.9	695.9	820.6	1283	1009.7	484	1063.7	1056.1	870.2	583.5	558.7	1160.2	325	221.1	500.8	342	344.2	214	209.1	163	478.9	415.5	241.5	251.3	173.3	316.6	284.2	168.1	175.3	288.1	157.7	191.4
40877_s_at	1230.7	682.8	853.9	392.4	518	1643.8	1302	1164.7	1313.5	736.3	730.9	1289.4	1017.4	2046.2	1471.6	616.5	886.2	1909.7	353.6	362.3	786.6	653	431.5	351.1	312	305.1	580.9	742.6	379.7	360.9	259.7	580.9	318.2	357.2	370.6	413.8	284.2	446.5
40878_f_at	269.9	162.4	402.6	136	233.5	428.3	340	285.8	319.3	401.1	219.6	285.9	480	563.1	444.5	247.8	23.6	199.5	19.2	44.1	9.4	8	11.1	13.2	44.3	4.9	34.6	19.6	14.6	6.9	7.4	8.8	6.2	50	58.3	5.4	73.5	4.9
40879_at	1371.2	1829	2370.5	1413.4	2197.6	818.8	1488.6	1527.8	805.1	1414.8	5428.3	972.1	3024.9	1676.9	1146.7	1491.2	1089.5	1256	6466.8	7773.4	7611.3	12878	12587.8	8263.3	11708.8	6675.5	7594.7	7626	6220.5	8246	11381.8	5745.3	4739.3	5222.3	20594.6	6004.2	14908.5	15167.8
40880_r_at	79.5	93.3	15.8	11.4	44.4	94	20.2	93.3	37.4	15.1	26.8	125	16.8	41.8	116.7	10.2	23.5	80.4	2393.4	2311.9	2568.4	3203.4	2448.1	3937.1	3889.3	1337.9	5813.1	3781.2	1470.1	2039.5	3522.6	4520.7	1886.7	4769.8	1751.5	1379.7	3386.4	5014.8
